task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
0,007bbfb7,"To make the output, you have to...form a black 7x7 grid. Every single point in a 7x7 output grid can be perceived as a 3x3 grid, and each of these points correspond to a location in the 2x2 input grid. You are required to duplicate the pattern of the input grid onto the output grid. However, the number of duplicates on the output grid is calculated by the number of colored pixels on the input grid. And the exact place of the copied pattern on the output grid also follows the spot of each of the colored squares on the input grid.","To make the output, you have to...create a blue 9x9 grid. Each placement in a 9x9 output grid can be identified as a 3x3 grid, and every one of these positions corresponds to a spot in the 3x3 input grid. You have to paste the pattern of the input grid onto the output grid. However, the numeral of duplicates on the output grid is dependent on the number of colored pixels on the input grid. And the location of the copied pattern on the output grid also follows the location of every one of the colored squares on the input grid.","To make the output, you have to...construct a black 9x9 grid. Each area in a 9x9 output grid can be separated as a 2x2 square, and each of these areas relate to a location in the 2x2 input grid. You must reproduce the pattern of the input grid onto the output grid. However, the total copies on the output grid are determined by the total number of colored pixels on the input grid. And the exact location of the copied pattern on the output grid follows the exact location of each of the colored rectangles on the input grid.","To make the output, you have to...create a black 9x9 grid. Each position in a 9x9 output grid can be distinguished as a 3x3 grid, and each of these positions corresponds to a location in the 3x3 input grid. You have to copy the pattern of the input grid onto the output grid. However, the number of copies on the output grid is determined by the number of colored pixels on the input grid. And the location of the copied pattern on the output grid also follows the location of each of the colored squares on the input grid.","To make the output, you have to...create a black 10x10 grid. Every position in an 8x8 output grid can be seen as a 2x2 grid, and each of these corresponds to an area in the 4x4 input grid. You must copy the shape of the input grid onto the output grid. However, the number of copies on the output grid is given by the amount of colored pixels on the input grid. Also, the place of the copied pattern on the output grid mimics the place of each of the colored rectangles on the input grid.",4
1,00d62c1b,"To make the output, you have to...examine the grey pattern in the input. Identify any empty areas of blocks enclosed by the pattern and fill those enclosed parts with yellow.","To make the output, you have to...examine the green pattern in the output. Identify any empty areas of blocks enclosed by the pattern and fill those enclosed parts with yellow.","To make the output, you have to...examine the green pattern in the input. Identify any empty areas of blocks enclosed by the pattern and fill those enclosed parts with brown.","To make the output, you have to...examine the green pattern in the input. Identify any empty areas of blocks enclosed by the pattern and fill those enclosed parts with yellow.","To make the output, you have to...examine the green pattern in the input. Identify any full areas of blocks enclosed by the pattern and fill those enclosed parts with yellow.",4
2,017c7c7b,"To make the output, you have to...identify a repeating green pixel pattern in a 10x5 grid pattern. And fill the repeated pattern with black pixels on a 12x5 grid.","To make the output, you have to...identify a repeating gray pixel pattern in a 8x4 grid pattern. And fill the repeated pattern with brown pixels on a 11x4 grid.","To make the output, you have to...identify a repeating light blue pixel pattern in a 6x3 grid pattern. And fill the repeated pattern with pink pixels on a 9x3 grid.","To make the output, you have to...identify a repeating blue pixel pattern in a 4x2 grid pattern. And fill the repeated pattern with yellow pixels on a 7x2 grid.","To make the output, you have to...identify a repeating blue pixel pattern in 6x3 grid pattern. And fill the repeated pattern with red pixels on a 9x3 grid.",5
3,025d127b,"To make the output, you have to...copy input grid over. find the bottom of the shape. Everything except the bottom row and the block that connect to the bottom row on the left side will have shifted one block over to the left.","To make the output, you have to...mirror the input grid. find the bottom of the shape. Everything but the lowest row and the rectangle linking the lowest row on the left will have been moved one block to the right.","To make the output, you have to...copy input grid over. find the bottom of the shape. Everything except the bottom row and the block that connect to the bottom row on the right side will have shifted one block over to the left.","To make the output, you have to...rotate the input grid 90 degrees. find the bottom of the shape. Everything except the bottom row and the block that connect to the bottom row on the right side will have shifted one block over to the left.	","To make the output, you have to...copy input grid over. find the top of the shape. Everything except the top row and the block that connect to the top row on the left side will have shifted one block over to the right.",2
4,045e512c,"To make the output, you have to...copy the background color, starting from the middle of the grid and expand it till the edge, completing or not the shape.","To make the output, you have to...magnify the reference shape, starting from the color of the corner blocks and then repeat that pattern to the center of the grid, regardless of requiring an incomplete formation. ","To make the output, you have to...illustrate the contrasting shape, beginning with the color of the surrounding blocks and then replicate it to the core of the grid, even if it needs an incomplete figure.","To make the output, you have to...replicate the reference shape, using the color of the other blocks as a start point and then replicate that pattern to the edge of the grid, even if it needs a incomplete shape.","To make the output, you have to...create a duplicate of the opposing shape, taking the color from the outer blocks as a start point and then carry that pattern to the brink of the grid, irrespective of it needing an incomplete design.",4
5,0520fde7,"To make the output, you have to...look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3.","To make the output, you have to...look at both the top and bottom parts of the input grid. You will notice that the top and bottom parts are 3x3. For each square that is colored on both the top and bottom parts, color the output grid with green on the new 3x3.","To make the output, you have to...look at both the left and right parts of the input grid. You will notice that the left and right parts are 5x5. For each square that is colored on both the left and right parts, color the output grid with yellow on the new 3x3.","To make the output, you have to...look at both the left and right parts of the input grid. You will notice that the left and right parts are 4x4. For each square that is colored on both the left and right parts, color the output grid with blue on the new 3x3.","To make the output, you have to...look at both the left and right parts of the input grid. You will notice that the left and right parts are 6x6. For each square that is colored on both the left and right parts, color the output grid with black on the new 3x3.",1
6,5269061,"To make the output, you have to...fill the black grid with same pattern of row color, next row need to replace the same pattern of first row one column move shifted left.","To make the output, you have to...fill the black grid with same pattern of row color, next row need to keep the same pattern of first row.","To make the output, you have to...fill the black grid with same pattern of row color, next row need to replace the same pattern of first row except one column move shifted right.","To make the output, you have to...leave the black grid empty, next row need to replace the same pattern of first row one column move shifted left.","To make the output, you have to...fill the black grid with different pattern of row color, next row need to replace the same pattern of first row one column move shifted left.",1
7,05f2a901,"To make the output, you have to...keep the blue 3x3 rectangle in the same spot. Move the red shape until it is touching the blue 3x3 rectangle either vertically or horizontally.","To make the output, you have to...keep the green 2x2 square in the same spot. Move the red shape away from the green 2x2 square either vertically or horizontally.","To make the output, you have to...keep the blue 2x2 square in the same spot. Move the red shape away from the blue 2x2 square either vertically or horizontally.","To make the output, you have to...keep the red 2x2 square in the same spot. Force the blue shape to touch the red 2x2 square either vertically or horizontally.","To make the output, you have to...keep the blue 2x2 square in the same spot. the red shape needs to move until it is touching the blue 2x2 square. You should move the red shape towards the blue 2x2 square either vertically or horizontally.",5
8,06df4c85,"To make the output, you have to...fill the black 2x2 square grid with same color in between the two different color of 2x2 grid and connect.","To make the output, you have to...fill the black 3x3 square grid with same color in between the two same color of 3x3 grid and connect.","To make the output, you have to...fill the red 2x2 square grid with same color in between the two same color of 2x2 grid and connect.","To make the output, you have to...fill the black 2x2 square grid with same color in between the two same color of 2x2 grid and connect.","To make the output, you have to...fill the black 2x2 square grid with different color in between the two same color of 2x2 grid and connect.",4
9,08ed6ac7,"To make the output, you have to...change the color of the tallest to blue, then second talest to red,third tallest to green,then finally shortest to yellow for both pairs.","To make the output, you have to...change the color of the tallest to blue, then second tallest to green, third tallest to red, then finally shortest to yellow for both pairs.","To make the output, you have to...change the color of the shortest to red, then second shortest to blue, third shortest to green, then finally the tallest to yellow for both pairs.","To make the output, you have to...change the color of the shortest to green, then second shortest to red, third shortest to yellow, then finally the tallest to blue for both pairs.","To make the output, you have to...change the color of the shortest to blue, then second shortest to red, third shortest to green, then finally the tallest to yellow for both pairs.",1
