task_id,task_name,shuffled_description1,shuffled_description2,shuffled_description3,shuffled_description4,shuffled_description5,answer
0,007bbfb7.json,"To make the output, you have to...search for a blue 9x9 grid. Write down the pattern of the input grid onto the output grid. Yet, the number of copies on the output grid is predetermined- you have to copy the pattern 2 times, no matter how many colored squares are there. The location of the copied pattern has no distinct pattern on the output grid.","To make the output, you have to...create a black 9x9 grid. Copy the pattern of the input grid onto the output grid. However, the number of copies on the output grid is determined by the number of colored squares on the input grid. So if there are 3 colored squares on the input grid, you have to copy the pattern on the output grid 3 times. And if there are 5 colored squares on the input grid, you have to copy the pattern 5 times. The location of the copied pattern on the output grid also follows the location of each of the colored squares on the input grid.","To make the output, you have to...draw a green 9x9 grid. Move the pattern of the input grid to the output grid. But, you should always copy the pattern on the output grid 7 times regardless of the number of colored squares. The location of the copied pattern is always in the center of the output grid.","To make the output, you have to...start with a white 9x9 grid. Transpose the pattern of the input grid onto the output grid. However, the number of copies on the output grid is independent of the number of colored squares on the input grid. You always have to copy the pattern 5 times, regardless of the number of colored squares. The location of the copied pattern is randomly placed on the output grid.","To make the output, you have to...use a red 9x9 grid. Implement the pattern of the input grid to the output grid. Still, the number of times you copy the pattern on the output grid relates to how many colored squares are there. If fewer than 3 colored squares are there, you have to copy the pattern 2 times and if more, copy it 6 times. The position of the copied pattern situates on the corners of the output grid.",2
1,00d62c1b.json,"To make the output, you have to...scrutinize the hue of the backdrop in the input. Locate any unoccupied parts of rectangles that are bound by the lines that inceive the additional design, dye them purple. You should wrap up with an amended blueprint of the original design from the input, with the unoccupied parts yed purple.","To make the output, you have to...observe the shape that forms the pattern in the input. Locate any filled regions of circles that are bordered by the curves that shape the secondary pattern, turn them green. You should finish with a completely different design from the input, where all filled areas are turned green.","To make the output, you have to...look at the color that form the design in the input. Find any empty areas of blocks that are enclosed by the lines that form the main design, fill them yellow.You should end with the same original design from the input, but with the empty areas filled yellow.","To make the output, you have to...study the pattern of the stripes in the input. Find any blank sections of spheres that are surrounded by the edges that construct the supplementary design, color them red. You should stop with an altered version of the original design from the input, with the blank sections painted red.","To make the output, you have to...examine the texture of the outline in the input. Identify any vacant spaces of squares that are confined by the contours that create the supportive design, stain them blue. You should conclude with a modified imprint of the original design from the input, having the vacant spaces stained blue.",3
2,017c7c7b.json,"To make the output, you have to...draw a triangle in the center of a square base pyramid model.","To make the output, you have to...rotate a 3D cube 45 degrees clockwise and increase its transparency to 70%.","To make the output, you have to...reduce the image size to a small thumbnail and apply a sepia filter.","To make the output, you have to...identify a repeating blue pixel pattern and fill the repeated pattern with red pixels on a 6x9 grid.","To make the output, you have to...color all solid lines in green on a floor plan design.",4
3,025d127b.json,"To make the output, you have to...flip the input grid vertically. Everything except the bottom row and the block connected to it on the right will move two blocks over to the right.","To make the output, you have to...rotate the input grid 90 degrees clockwise. Move the colored blocks one row down. Everything but the top row and the block connecting the top row on the left side will have moved one block to the right.","To make the output, you have to...copy input grid over. find the bottom of the shape. Everything except the bottom row and the block that connect to the bottom row on the right side will have shifted one block over to the right.","To make the output, you have to...invert the colors of the multicolored blocks. The blocks will then move to the left, except for the bottom row and the block connected to the bottom row on the right, which will stay put.","To make the output, you have to...shift the entire grid to the right without dealing with individual blocks. The bottom row and the block connected to the bottom row on the right side will remain static.",3
4,045e512c.json,"To make the output, you have to... erase the reference shape, using the color of the other blocks as a guide, before expanding to the edge of the grid with an unrelated pattern.","To make the output, you have to... construct a completely new shape in the grid using opposing colors, disregarding any pre-existing pattern or start point.","To make the output, you have to... invert the color palette of the remaining cubes, clustering them at the center of the grid without any resemblance to the reference shape.","To make the output, you have to... replicate the reference shape, using the color of the other blocks as a start point and then replicate that pattern to the edge of the grid, even if it needs a incomplete shape.","To make the output, you have to... randomize the color arrangement of the grid and purposely avoid replicating any recognizable shape or pattern seen before.",4
5,0520fde7.json,"To make the output, you have to... consider the center square of the input grid. If it is colored, fill the entire output grid with green.","To make the output, you have to... check both the left and right parts of the input grid, but only color the output squares if a square is colored in the right part only.","To make the output, you have to... examine only the left part of the input grid. If there are any colored squares, replicate them onto the output grid.","To make the output, you have to... scan the top and bottom parts of the input grid. Shade the areas of the output grid that are colored in the input grid with blue.","To make the output, you have to... look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3.",5
6,5269061.json,"To make the output, you have to...fill the black grid with same pattern of row color, keep the pattern intact without any shift","To make the output, you have to...leave the black grid empty, let the pattern form itself by default","To make the output, you have to...fill the black grid with inverted pattern of row color, adjacent row must be inverse shifted right","To make the output, you have to...fill the black grid with same pattern of row color, next row need to replace the same pattern of first row one column move shifted left","To make the output, you have to...fill the black grid with random pattern of row color, no row need to replace any pattern",4
7,05f2a901.json,"To make the output, you have to... rotate the red shape to touch the blue 2x2 square without changing locations.","To make the output, you have to... insert the blue 2x2 square into the red shape without any movement.","To make the output, you have to... move the blue 2x2 square to the spot where the red shape is currently located.","To make the output, you have to... keep the blue 2x2 square in the same spot. the red shape needs to move until it is touching the blue 2x2 square. You should move the red shape towards the blue 2x2 square either vertically or horizontally.","To make the output, you have to... bring the blue 2x2 square and the red shape together, without moving the blue square.",4
8,06df4c85.json,"To make the output, you have to...fill the black 2x2 square grid with same color in between the two same color of 2x2 grid and connect.","To make the output, you have to...avoid connecting any of the 2x2 grids of the same color.","To make the output, you have to...fill the black 2x2 square grid with a different color between two same color grids.","To make the output, you have to...leave the black 2x2 square grid empty between the two same colors.","To make the output, you have to...disconnect the 2x2 square grids of the same color.",1
9,08ed6ac7.json,"To make the output, you have to...alter the color of the tallest to gray, then second tallest to brown, third tallest to pink, then finally shortest to black for both pairs.","To make the output, you have to...amend the color of the tallest to pink, then second tallest to green, third tallest to black, then finally shortest to cyan for both pairs.","To make the output, you have to...leave the color of the tallest unchanged, switch the second tallest to gray, third tallest to brown, then finally shortest to blue for both pairs.","To make the output, you have to...change the color of the tallest to blue, then second talest to red,third tallest to green,then finally shortest to yellow for both pairs.","To make the output, you have to...change the color of the tallest to red, then second tallest to yellow, third tallest to blue, then finally shortest to green for both pairs.",4
