task_id,task_name,description_input,description_output
0,007bbfb7,"In the input, you should see...a 3x3 grid with only one color and simple pattern.","To make the output, you have to...create a black 9x9 grid. Each position in a 9x9 output grid can be distinguished as a 3x3 grid, and each of these positions corresponds to a location in the 3x3 input grid. You have to copy the pattern of the input grid onto the output grid. However, the number of copies on the output grid is determined by the number of colored pixels on the input grid. And the location of the copied pattern on the output grid also follows the location of each of the colored squares on the input grid."
1,00d62c1b,"In the input, you should see...a pattern with green pixels and empty squares.","To make the output, you have to...examine the green pattern in the input. Identify any empty areas of blocks enclosed by the pattern and fill those enclosed parts with yellow."
2,017c7c7b,"In the input, you should see...a 3x6 grid pattern with blue pixels.","To make the output, you have to...identify a repeating blue pixel pattern in 6x3 grid pattern. And fill the repeated pattern with red pixels on a 9x3 grid."
3,025d127b,"In the input, you should see...black background with colored parallelogram shape.","To make the output, you have to...copy input grid over. find the bottom of the shape. Go up to the next row with the multicolored blocks and move everything over one row. Everything except the bottom row and the block that connect to the bottom row on the right side will have shifted one block over to the left."
4,045e512c,"In the input, you should see...a reference shape, which will be the shape with the most blocks, with various colored blocks to its sides.","To make the output, you have to...replicate the reference shape, using the color of the other blocks as a start point and then replicate that pattern to the edge of the grid, even if it needs a incomplete shape."
5,0520fde7,"In the input, you should see...a 3x7 grid divided equally into a left blue pattern side and a right blue pattern side by a line of gray blocks.","To make the output, you have to...look at both the left and right parts of the input grid. You will notice that the left and right parts are 3x3. For each square that is colored on both the left and right parts, color the output grid with red on the new 3x3."
6,05269061,"In the input, you should see...a 7x7 grid with different colored upper right diagonal pixels on black background.","To make the output, you have to...fill the black grid with same pattern of row color, next row need to replace the same pattern of first row one column move shifted left."
7,05f2a901,"In the input, you should see...a light blue 2x2 square and a red shape.","To make the output, you have to...keep the blue 2x2 square in the same spot. the red shape needs to move until it is touching the blue 2x2 square. You should move the red shape towards the blue 2x2 square either vertically or horizontally."
8,06df4c85,"In the input, you should see...cubes painted in different colors and empty black cubes between the colored grid lines.","To make the output, you have to...fill the black 2x2 square grid with same color in between the two same color of 2x2 grid and connect."
9,08ed6ac7,"In the input, you should see...several different lengths of gray bars that rise vertically.","To make the output, you have to...change the color of the tallest to blue, then second talest to red,third tallest to green,then finally shortest to yellow for both pairs."
